	AORF10	AORF13	AORF15	AORF16	AORF17	AORM10	AORM11	AORM12	AORM14	AORM16	AORM17	COMOF1	COMOF10	COMOF11	COMOF12	COMOF13	COMOF2	COMOF3	COMOF7	COMOF8	COMOM1	COMOM10	COMOM11	CRORF10	CRORF11	CRORF12	CRORF13	CRORF14	CRORF15	CRORF2	CRORF7	CRORM12	CRORM13	CRORM17	JORF1	JORF12	JORF3	JORF5	JORF9	JORM10	JORM11	JORM13	JORM14	JORM15	JORM16	JORM2	JORM4	JORM5	JORM8
ASV_1	0	0	0	97	235	0	5	0	0	4	0	76638	16470	34481	0	78	68087	64348	68418	66449	44054	6	11	5	0	1074	2038	1144	1981	142	137	1187	1364	1850	239	0	61	13091	109	137	140	22495	12050	13891	194	17135	18559	76	4099
ASV_2	980	674	1470	367	322	25449	3754	2106	11031	1760	21107	422	8101	3717	76709	4354	855	0	0	0	534	2013	3211	3113	43684	24874	4268	85480	5466	17	22	34182	3797	44860	1342	828	226	3345	143	1054	456	2372	3764	136	481	891	197	154	2474
ASV_3	16	0	0	0	0	0	0	0	0	0	0	6257	0	0	0	0	10168	6790	3915	4382	8959	0	0	0	0	0	0	0	0	2472	3390	0	0	0	18799	690	30256	28197	40990	10578	19213	23412	24124	21485	34226	16386	22119	43995	27859
ASV_4	663	3772	4630	6969	5333	4406	10460	1160	1702	1359	2633	827	780	1140	95	651	249	136	11236	152	382	0	0	13157	3090	1921	6748	1234	11960	12932	1771	1734	2621	1197	47292	369	2773	3326	3167	79227	13566	8680	5607	3752	7895	36275	2789	1961	3889
ASV_5	17378	3923	33137	12626	3177	34441	26937	61304	41792	49035	10248	0	433	181	637	395	0	0	0	0	0	1021	0	5029	6226	5716	5179	1757	788	24	0	1295	8	9	23	1169	0	0	0	64	24	0	0	0	11	0	0	0	0
ASV_6	6003	5100	5418	10788	17678	16409	29202	12138	9125	23005	2576	381	1225	3264	294	891	25	18	459	17	141	217	0	33752	13944	4446	34523	2551	15668	2814	334	12429	835	2427	644	590	292	347	1342	361	1362	1836	222	216	507	1244	269	175	486
ASV_7	0	0	0	0	0	0	0	0	0	0	0	3688	0	0	0	0	3845	6897	2858	9096	5433	0	0	0	0	0	0	0	0	1135	279	0	0	0	5473	0	14796	11737	13551	3453	8940	13824	11851	18509	7868	9897	25934	6522	16032
ASV_8	35	25	56	0	11	20	54	29	0	8	0	2686	28	55	0	22	4707	2464	1627	1021	3837	0	0	85	105	29	109	85	154	2101	3297	23	159	121	9077	1174	13387	12869	21003	5125	8988	10707	10772	8824	19081	7310	7882	23315	12025
ASV_9	0	0	0	0	0	0	0	0	0	0	0	2261	0	0	0	0	2106	3931	1784	5018	3082	0	0	0	0	0	0	0	0	704	182	0	0	0	3321	0	8347	6866	8061	2102	5440	8678	6756	11348	4819	5716	14556	3697	9513
ASV_10	0	0	0	0	0	0	0	0	0	0	0	1306	0	0	0	0	2682	1174	767	458	2012	0	17	0	0	0	0	0	0	654	863	0	0	0	4897	171	6967	7420	10419	2708	4418	5137	5904	4464	9208	3856	3991	13486	6247
ASV_11	0	0	0	0	22	358	1055	593	582	280	305	15	270	681	0	312	0	0	51	0	0	0	0	8514	1393	461	3711	296	3410	23626	3984	833	2665	760	29	0	20	0	0	32	5731	21	15	22	888	47	23	9	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	3750	266	46	224	318	0	0	0	0	0	0	0	0	859	74	0	0	0	1762	0	14775	5848	2815	771	3610	1590	4365	1390	1417	1885	2569	2441	2571
ASV_13	0	0	0	0	0	0	0	44	0	0	0	2523	0	0	0	79	2703	2351	2443	2432	13882	353	23	0	0	0	0	0	0	8	10	0	0	0	34	0	6	7	0	32	19	14	4	5	27	26	10	0	9503
ASV_14	0	0	0	0	4	47	148	29	47	32	29	64	71	147	0	49	44	24	79	36	48	0	0	159	347	51	239	162	347	6918	9254	88	389	635	59	0	26	0	47	20	1838	24	36	46	6760	40	37	0	24
ASV_15	0	0	0	0	0	0	0	1246	0	0	0	0	0	0	429	940	0	0	0	0	0	24534	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	0	0	22	183	492	278	237	137	146	0	110	307	0	116	0	0	0	0	0	0	0	3576	598	220	1751	104	1411	9103	1787	341	1117	293	0	0	0	0	0	0	2202	0	0	0	445	0	0	0	0
ASV_17	0	0	0	0	0	19	1369	21	15	15	0	0	10	0	868	16450	0	0	0	0	0	417	811	10	44	21	16	24	1057	0	0	6	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	0	0	32	292	30	34	36	17	18	172	182	0	187	21	17	30	15	21	0	0	214	226	35	26	436	1507	5460	1315	230	2033	846	31	0	25	29	29	26	3305	30	31	24	111	26	22	18	16
ASV_19	0	0	0	0	0	37	1009	0	69	0	0	0	348	378	0	842	0	0	3	2	0	0	0	63	517	32	0	748	7057	1081	677	527	434	1846	0	0	0	0	0	0	571	0	0	0	666	0	0	0	8
